Peak m/z,Source
18.010565,water
28.006148,nitrogen gas
31.989829,oxygen gas
39.962383,argon gas
69,Boc/t-Bu|common peak
70,Boc/t-Bu
71,Boc/t-Bu
73,common peak
77,Trt
78,Trt
82,Boc/t-Bu
83,Boc/t-Bu
84,Boc/t-Bu
87,common peak
88,Fmoc
89,Fmoc
91,Pbf
100,Pbf
100,Boc/t-Bu
105,Trt
111,Boc/t-Bu
112,Boc/t-Bu
113,Boc/t-Bu
115,Pbf
119,Pbf
129,Trt
129,Pbf
129,Boc/t-Bu
139,Fmoc
147,Pbf
147,Boc/t-Bu
151,Fmoc
152,Fmoc
154,Trt
155,Trt
157,Boc/t-Bu
163,Fmoc
164,Fmoc
165,Fmoc
165,Trt
166,Fmoc
166,Trt
167,Trt
173,Pbf
174,Pbf
175,Pbf
176,Fmoc
176,Pbf
177,Fmoc
178,Fmoc
179,Fmoc
181,Trt
182,Trt
183,Trt
184,Trt
189,Pbf
190,Pbf
196,Fmoc
243,Trt
244,Trt
258,Fmoc
260,Fmoc
